Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
110,,Starlink20 v1.0 (60 satellites),,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1058.6[638],Success(drone ship),11 March 202108:13:29[637],
111,,Starlink21 v1.0 (60 satellites),,LEO,SpaceX,,"KSC,LC-39A","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1051.9,Success(drone ship),14 March 202110:01[640],
112,,Starlink22 v1.0 (60 satellites),,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5♺B1060.6[643],Success(drone ship),24 March 202108:28[642],
113,,Starlink23 v1.0 (60 satellites),,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1058.7,Success(drone ship),7 April 202116:34,
114,,Crew-2(Crew Dragon C206.2Endeavour♺),,LEO(ISS),NASA(CTS)[497],,"KSC,LC-39A","~13,000 kg (29,000 lb)[648]",Success,F9 B5♺B1061.2[647],Success(drone ship),23 April 20219:49[646],
115,,Starlink24 v1.0 (60 satellites),,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5♺B1060.7[652],Success(drone ship),29 April 202103:44[651],
116,,Starlink25 v1.0 (60 satellites),,LEO,SpaceX,,"KSC,LC-39A","15,600 kg (34,400 lb)",Success,F9 B5♺B1049.9[655],Success(drone ship),4 May 202119:01[654],
117,,Starlink27 v1.0 (60 satellites),,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5♺B1051.10[657],Success(drone ship),9 May 202106:42[656],
118,,Starlink26 v1.0 (52 Satellites)Capella-6 &Tyvak-0130[662],,LEO,SpaceXCapella SpaceandTyvak,,"KSC,LC-39A[661]","~14,000 kg (31,000 lb)",Success,F9 B5♺B1058.8[660],Success(drone ship),15 May 202122:56[659],
119,,Starlink28 v1.0 (60 Satellites)[665],,LEO,SpaceX,,"CCSFS,SLC-40[665]","15,600 kg (34,400 lb)",Success,F9 B5♺B1063.2[665],Success(drone ship),26 May 202118:59[664],
120,,SpaceX CRS-22(Dragon C209.1),,LEO(ISS),NASA(CRS),,"KSC,LC-39A","3,328 kg (7,337 lb)",Success,F9 B5B1067.1[668],Success(drone ship),3 June 202117:29[667],
121,,SXM-8[674],,GTO,Sirius XM,,"CCSFS,SLC-40","7,000 kg (15,000 lb)",Success,F9 B5♺B1061.3,Success(drone ship),6 June 202104:26[673],
